Learner_ID,Learner_Segment,Current_Plan,Current_Fee,Completion_Rate,Weekly_Hours,Last_Login_Days,Renewed_Last_Cycle,Recommended_Action,Recommended_Discount_Pct,Reason
L00110,Casual Learner,Pro,999,0.5,2.6,77,N,High Churn Risk - Win-Back Offer,20,Inactive for 77 days and did not renew last cycle
L00111,Career Switcher,Pro,999,0.6,8.6,3,Y,Recommend Pro,0,Career Switcher investing 8.6 hrs/week - high intent to reskill
L00112,Power Learner,Premium,1499,0.93,11.7,0,Y,Recommend Premium,0,Power Learner with 93.0% completion rate
L00113,Working Professional,Pro,999,0.62,5.3,4,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00114,Career Switcher,Pro,999,0.71,10,13,Y,Recommend Premium (Power Usage),0,Completed 10 courses - power usage on a non-Premium plan
L00115,Working Professional,Standard,599,0.67,7.8,4,Y,Recommend Premium (Power Usage),10,Completed 10 courses - power usage on a non-Premium plan
L00116,College Student,Pro,999,0.44,8.3,16,Y,Do Not Extend Discount Next Cycle,0,Received 23% discount but only 44.0% completion - discount not driving engagement
L00117,Career Switcher,Pro,999,0.55,5.3,2,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (55.0% completion, 5.3 hrs/week) - no action needed yet"
L00118,Working Professional,Premium,1499,0.62,5.7,15,Y,CS Outreach Before Upsell,10,High support ticket volume (3) needs resolution first
L00119,College Student,Standard,599,0.64,6.2,20,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00120,Working Professional,Standard,599,0.64,5.7,19,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (64.0% completion, 5.7 hrs/week) - no action needed yet"
L00121,College Student,Pro,999,0.5,2.2,32,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00122,Certification Seeker,Pro,999,0.71,3.7,23,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00123,College Student,Basic,299,0.5,7.4,39,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00124,Working Professional,Pro,999,0.67,4.2,15,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (67.0% completion, 4.2 hrs/week) - no action needed yet"
L00125,Working Professional,Pro,999,0.8,9,15,Y,Recommend Premium,10,Working Professional averaging 9 hrs/week with 80.0% completion
L00126,College Student,Standard,599,0,8.8,36,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00127,Career Switcher,Basic,299,0.67,5.8,14,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00128,Career Switcher,Pro,999,0.67,7.3,15,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00129,Career Switcher,Standard,599,0.8,7,7,Y,Recommend Upgrade to Pro,0,On Standard but completing 80.0% at 7 hrs/week - outgrowing current plan
L00130,Working Professional,Standard,599,0.85,7.3,11,N,Recommend Premium (Power Usage),10,Completed 11 courses - power usage on a non-Premium plan
L00131,Career Switcher,Pro,999,0.5,11.5,4,N,Recommend Pro,0,Career Switcher investing 11.5 hrs/week - high intent to reskill
L00132,Career Switcher,Pro,999,0.56,8.3,4,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00133,Certification Seeker,Pro,999,0.6,4.6,24,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (60.0% completion, 4.6 hrs/week) - no action needed yet"
L00134,Certification Seeker,Standard,599,0.6,7.8,1,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00135,Career Switcher,Standard,599,1,7.3,8,Y,Recommend Upgrade to Pro,0,On Standard but completing 100.0% at 7.3 hrs/week - outgrowing current plan
L00136,Certification Seeker,Basic,299,0.75,3.5,15,N,Offer Loyalty Discount (10%),10,"Engaged (75.0% completion) but did not renew - likely a price objection, not a satisfaction issue"
L00137,Working Professional,Standard,599,0.67,8.2,3,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00138,Power Learner,Premium,1499,0.89,11.5,2,Y,Recommend Premium,0,Power Learner with 89.0% completion rate
L00139,Career Switcher,Pro,999,0.56,5.5,3,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (56.0% completion, 5.5 hrs/week) - no action needed yet"
L00140,Certification Seeker,Pro,999,0.88,3.5,14,Y,Recommend Pro (Certification Value),0,Certification Seeker with 88.0% completion - values credentialing
L00141,Working Professional,Pro,999,0.67,5.3,1,Y,CS Outreach Before Upsell,10,High support ticket volume (3) needs resolution first
L00142,Working Professional,Premium,1499,0.55,6.7,12,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00143,Power Learner,Premium,1499,0.86,19.8,3,Y,Recommend Premium,0,Power Learner with 86.0% completion rate
L00144,College Student,Standard,599,0.5,6.3,15,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00145,College Student,Standard,599,0.67,3,14,Y,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (67.0% completion, 3 hrs/week) - no action needed yet"
L00146,College Student,Basic,299,0.57,5.9,11,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (57.0% completion, 5.9 hrs/week) - no action needed yet"
L00147,Career Switcher,Standard,599,0.5,6.3,15,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00148,Career Switcher,Pro,999,0.79,6.4,2,Y,Recommend Premium (Power Usage),0,Completed 11 courses - power usage on a non-Premium plan
L00149,Career Switcher,Pro,999,0.64,10.1,6,Y,Recommend Pro,0,Career Switcher investing 10.1 hrs/week - high intent to reskill
L00150,College Student,Pro,999,0.67,6.2,25,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00151,Working Professional,Pro,999,0.71,6.8,6,Y,Recommend Premium,10,Working Professional averaging 6.8 hrs/week with 71.0% completion
L00152,Certification Seeker,Standard,599,0.73,4.2,15,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00153,Casual Learner,Standard,599,0.29,1.1,27,Y,Engagement Nudge - Stay on Basic,0,Casual Learner with low 29.0% completion - keep expectations low-commitment
L00154,Certification Seeker,Basic,299,0.8,5.3,19,Y,Recommend Premium (Power Usage),0,Completed 12 courses - power usage on a non-Premium plan
L00155,Career Switcher,Pro,999,0.67,8.8,0,N,Recommend Pro,0,Career Switcher investing 8.8 hrs/week - high intent to reskill
L00156,Career Switcher,Pro,999,0.75,10.6,11,Y,Recommend Pro,0,Career Switcher investing 10.6 hrs/week - high intent to reskill
L00157,Certification Seeker,Standard,599,0.62,5.4,22,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (62.0% completion, 5.4 hrs/week) - no action needed yet"
L00158,Certification Seeker,Standard,599,1,6.4,17,Y,Recommend Pro (Certification Value),0,Certification Seeker with 100.0% completion - values credentialing
L00159,Casual Learner,Basic,299,0.23,1.3,89,N,CS Outreach Before Upsell,20,High support ticket volume (5) needs resolution first
L00160,Working Professional,Pro,999,0.6,7.6,10,Y,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00161,Career Switcher,Pro,999,0.75,7.7,9,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00162,Working Professional,Premium,1499,0.67,6.2,3,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00163,Working Professional,Premium,1499,0.78,5.8,2,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00164,College Student,Standard,599,0.46,3.2,26,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00165,College Student,Basic,299,0.67,4.3,24,Y,Recommend Upgrade to Standard,0,On Basic but logging in 13x/month with 67.0% completion
L00166,Power Learner,Pro,999,1,19.7,3,Y,Recommend Premium,0,Power Learner with 100.0% completion rate
L00167,Working Professional,Pro,999,0.88,5.1,0,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 9 months with consistent renewals
L00168,Certification Seeker,Standard,599,0.71,4.2,22,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00169,Certification Seeker,Pro,999,0.82,6,3,Y,Recommend Pro (Certification Value),0,Certification Seeker with 82.0% completion - values credentialing
L00170,Career Switcher,Standard,599,0.57,6.8,7,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00171,Working Professional,Standard,599,0.75,4.9,10,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00172,Casual Learner,Basic,299,0.33,0.9,33,Y,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00173,College Student,Basic,299,0.57,6.4,40,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00174,Working Professional,Standard,599,0.57,8.9,18,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00175,College Student,Standard,599,0.5,4.7,22,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (50.0% completion, 4.7 hrs/week) - no action needed yet"
L00176,Working Professional,Standard,599,0.7,4.8,13,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00177,Casual Learner,Basic,299,0,1.2,26,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00178,Working Professional,Pro,999,0.54,6.9,18,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00179,Working Professional,Pro,999,0.83,7.4,17,Y,Recommend Premium,0,Working Professional averaging 7.4 hrs/week with 83.0% completion
L00180,Power Learner,Premium,1499,1,14.5,0,Y,Recommend Premium,0,Power Learner with 100.0% completion rate
L00181,Career Switcher,Standard,599,0.67,10.5,1,N,Recommend Pro,0,Career Switcher investing 10.5 hrs/week - high intent to reskill
L00182,Working Professional,Standard,599,0.57,9.5,20,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00183,Career Switcher,Pro,999,0.58,8.2,2,N,CS Outreach Before Upsell,0,High support ticket volume (3) needs resolution first
L00184,Working Professional,Pro,999,0.71,6.1,17,Y,Recommend Premium,10,Working Professional averaging 6.1 hrs/week with 71.0% completion
L00185,Working Professional,Pro,999,0.62,8.7,1,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00186,College Student,Basic,299,0.4,8.4,19,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00187,Working Professional,Standard,599,0.75,8.4,13,Y,Recommend Premium,0,Working Professional averaging 8.4 hrs/week with 75.0% completion
L00188,Working Professional,Pro,999,0.75,9.9,4,Y,Recommend Premium,0,Working Professional averaging 9.9 hrs/week with 75.0% completion
L00189,Certification Seeker,Pro,999,0.64,3.7,18,N,Maintain Current Plan - Monitor,0,"Steady mid-range engagement (64.0% completion, 3.7 hrs/week) - no action needed yet"
L00190,Career Switcher,Premium,1499,0.57,10.3,12,Y,Recommend Pro,0,Career Switcher investing 10.3 hrs/week - high intent to reskill
L00191,College Student,Standard,599,0.5,8.1,33,N,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00192,Casual Learner,Basic,299,0,2.7,87,N,High Churn Risk - Win-Back Offer,20,Inactive for 87 days and did not renew last cycle
L00193,Certification Seeker,Pro,999,1,3.1,0,Y,Recommend Pro (Certification Value),0,Certification Seeker with 100.0% completion - values credentialing
L00194,Working Professional,Basic,299,0.5,7.2,8,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 9 months with consistent renewals
L00195,Working Professional,Pro,999,0.6,9.7,1,Y,Loyalty Reward (Free Month / 10% Off Renewal),10,Working Professional loyal for 12 months with consistent renewals
L00196,Casual Learner,Basic,299,0.44,3,83,N,High Churn Risk - Win-Back Offer,20,Inactive for 83 days and did not renew last cycle
L00197,Casual Learner,Standard,599,0.2,1.7,54,N,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00198,Working Professional,Standard,599,1,8.6,7,Y,Recommend Premium,0,Working Professional averaging 8.6 hrs/week with 100.0% completion
L00199,Working Professional,Pro,999,0.71,8.4,7,Y,Recommend Premium,10,Working Professional averaging 8.4 hrs/week with 71.0% completion
L00200,Career Switcher,Standard,599,0.79,11.9,2,Y,Recommend Premium (Power Usage),0,Completed 11 courses - power usage on a non-Premium plan
L00201,Working Professional,Pro,999,0.62,8.4,14,Y,No Action - Standard Monitoring,0,No strong signal in either direction - continue standard monitoring
L00202,Certification Seeker,Pro,999,0.86,7.4,0,Y,Recommend Pro (Certification Value),0,Certification Seeker with 86.0% completion - values credentialing
L00203,Power Learner,Premium,1499,0.93,17.1,0,Y,Recommend Premium,0,Power Learner with 93.0% completion rate
L00204,Casual Learner,Basic,299,0.33,0.8,27,N,CS Outreach Before Upsell,0,High support ticket volume (4) needs resolution first
L00205,Casual Learner,Basic,299,0,1,33,N,CS Outreach Before Upsell,0,High support ticket volume (5) needs resolution first
L00206,Casual Learner,Basic,299,0.42,0.8,58,N,Renewal Reminder,0,No login in 58 days
L00207,Casual Learner,Standard,599,0.43,3.4,23,Y,Do Not Extend Discount Next Cycle,0,Received 25% discount but only 43.0% completion - discount not driving engagement
L00208,Casual Learner,Basic,299,0.36,1,67,N,High Churn Risk - Win-Back Offer,20,Inactive for 67 days and did not renew last cycle
