Learner_ID,Age,Profession,Region,Learner_Segment,Subscription_Plan,Monthly_Fee,Months_Active,Courses_Enrolled,Courses_Completed,Completion_Rate,Weekly_Hours,Login_Frequency,Last_Login_Days,Coupon_Used,Discount_Availed,Payment_Mode,Support_Tickets,Renewed_Last_Cycle
L00030,19,Student,Mumbai,College Student,Basic,299,8,11,6,0.55,6.3,5,29,N,0,Wallet,3,Y
L00031,23,Student,Bengaluru,College Student,Standard,599,4,4,1,0.25,3.2,12,29,N,0,UPI,4,Y
L00032,32,HR Executive,Chennai,Working Professional,Premium,1499,8,9,7,0.78,7.7,16,13,N,0,Card,1,Y
L00033,44,Student,Jaipur,Casual Learner,Basic,299,5,6,1,0.17,2.0,6,56,Y,21,Card,2,N
L00034,40,Freelancer,Bengaluru,Casual Learner,Basic,299,6,7,1,0.14,2.4,4,27,Y,25,UPI,5,Y
L00035,20,Student,Ahmedabad,College Student,Pro,999,7,8,6,0.75,5.8,12,38,Y,19,UPI,1,Y
L00036,37,Ex-Banker,Jaipur,Career Switcher,Premium,1499,10,7,4,0.57,8.7,14,0,Y,10,UPI,2,Y
L00037,20,Student,Ahmedabad,College Student,Basic,299,7,9,3,0.33,3.8,5,30,Y,29,Card,1,N
L00038,25,Ex-Banker,Hyderabad,Career Switcher,Pro,999,10,10,7,0.7,6.1,10,15,N,0,Wallet,1,Y
L00039,22,Student,Delhi NCR,College Student,Pro,999,2,7,4,0.57,6.1,8,36,Y,24,UPI,1,Y
L00040,45,Part-time Worker,Bengaluru,Casual Learner,Standard,599,10,6,1,0.17,3.2,3,88,Y,23,UPI,4,N
L00041,20,Student,Delhi NCR,College Student,Basic,299,12,15,9,0.6,5.7,14,17,Y,20,Wallet,2,Y
L00042,18,Student,Jaipur,College Student,Basic,299,8,8,4,0.5,6.0,14,24,N,0,Card,3,Y
L00043,28,Student,Pune,Casual Learner,Basic,299,9,8,3,0.38,3.8,1,50,N,0,Card,4,N
L00044,24,Software Engineer,Pune,Working Professional,Standard,599,12,6,4,0.67,5.5,13,15,N,0,Netbanking,2,Y
L00045,20,Student,Bengaluru,College Student,Standard,599,6,12,5,0.42,2.8,12,11,Y,24,Netbanking,0,N
L00046,29,Marketing Executive,Pune,Working Professional,Basic,299,9,12,9,0.75,4.8,8,1,N,0,Wallet,0,N
L00047,40,Ex-Operations,Jaipur,Career Switcher,Standard,599,1,7,5,0.71,6.8,15,3,N,0,UPI,0,Y
L00048,34,Ex-Teacher,Hyderabad,Career Switcher,Standard,599,7,7,5,0.71,9.2,17,7,N,0,Wallet,1,N
L00049,29,Software Engineer,Bengaluru,Power Learner,Premium,1499,4,3,2,0.67,16.3,24,0,N,0,Card,0,Y
L00050,33,Student,Mumbai,Casual Learner,Basic,299,12,15,5,0.33,1.5,4,29,Y,26,Card,4,Y
L00051,19,Student,Delhi NCR,College Student,Basic,299,3,8,6,0.75,7.5,13,36,Y,24,Wallet,1,Y
L00052,25,HR Executive,Mumbai,Working Professional,Premium,1499,12,11,6,0.55,5.9,12,0,N,0,UPI,2,Y
L00053,23,Retired,Jaipur,Casual Learner,Pro,999,3,8,4,0.5,4.0,4,82,Y,17,UPI,1,N
L00054,27,Retired,Mumbai,Casual Learner,Basic,299,6,14,6,0.43,1.4,1,71,N,0,Wallet,3,Y
L00055,33,Sales Executive,Jaipur,Working Professional,Pro,999,4,12,8,0.67,5.6,10,9,N,0,UPI,1,N
L00056,24,HR Executive,Ahmedabad,Working Professional,Basic,299,2,8,6,0.75,6.8,9,20,N,0,Netbanking,1,Y
L00057,31,Marketing Executive,Jaipur,Working Professional,Pro,999,7,5,4,0.8,5.1,16,4,N,0,Wallet,1,N
L00058,24,Data Analyst,Pune,Working Professional,Pro,999,10,8,5,0.62,10.0,15,4,N,0,Wallet,3,N
L00059,29,Manager,Hyderabad,Certification Seeker,Pro,999,7,7,6,0.86,3.2,13,22,N,0,Card,1,N
L00060,22,Student,Bengaluru,College Student,Pro,999,8,7,4,0.57,2.7,11,0,N,0,Card,0,Y
L00061,30,Entrepreneur,Bengaluru,Power Learner,Premium,1499,11,15,13,0.87,18.6,26,2,N,0,UPI,0,Y
L00062,27,Freelancer,Bengaluru,Casual Learner,Basic,299,2,12,3,0.25,3.2,6,32,Y,11,Netbanking,1,Y
L00063,26,Marketing Executive,Ahmedabad,Working Professional,Pro,999,3,10,8,0.8,5.0,9,19,N,0,Wallet,0,Y
L00064,39,Ex-Marketer,Mumbai,Career Switcher,Premium,1499,8,6,3,0.5,11.3,18,5,N,0,Netbanking,3,Y
L00065,28,Marketing Executive,Ahmedabad,Working Professional,Premium,1499,2,12,8,0.67,5.4,13,18,N,0,Wallet,2,Y
L00066,23,Manager,Pune,Certification Seeker,Pro,999,4,10,8,0.8,6.0,11,7,N,0,Card,0,N
L00067,34,Ex-Operations,Mumbai,Career Switcher,Pro,999,12,3,2,0.67,5.9,12,10,N,0,Netbanking,2,N
L00068,21,Student,Chennai,College Student,Standard,599,8,12,8,0.67,8.7,6,14,N,0,Wallet,2,Y
L00069,28,HR Executive,Bengaluru,Working Professional,Pro,999,11,11,7,0.64,8.5,12,18,N,0,UPI,1,Y
L00070,35,Unemployed (Upskilling),Hyderabad,Career Switcher,Pro,999,11,1,1,1.0,10.8,12,13,N,0,Netbanking,1,Y
L00071,22,Student,Ahmedabad,College Student,Standard,599,11,12,7,0.58,8.6,12,26,Y,18,UPI,3,Y
L00072,30,Software Engineer,Chennai,Certification Seeker,Standard,599,8,6,5,0.83,7.8,11,3,N,0,Netbanking,0,Y
L00073,18,Student,Bengaluru,College Student,Standard,599,11,4,3,0.75,6.5,4,3,N,0,Card,0,Y
L00074,31,Ex-Banker,Chennai,Career Switcher,Pro,999,10,13,9,0.69,5.0,10,4,Y,12,UPI,1,Y
L00075,25,Part-time Worker,Chennai,Casual Learner,Basic,299,5,12,3,0.25,0.7,6,73,Y,19,Netbanking,5,N
L00076,27,HR Executive,Mumbai,Working Professional,Pro,999,11,1,1,1.0,7.1,15,20,N,0,Wallet,1,Y
L00077,31,Software Engineer,Bengaluru,Working Professional,Standard,599,3,9,7,0.78,4.4,12,19,N,0,Wallet,1,Y
L00078,28,Ex-Teacher,Hyderabad,Career Switcher,Pro,999,4,2,1,0.5,7.9,15,12,N,0,Netbanking,2,Y
L00079,21,Student,Bengaluru,College Student,Standard,599,2,10,6,0.6,5.0,9,8,N,0,Netbanking,0,Y
L00080,35,Software Engineer,Pune,Certification Seeker,Pro,999,6,8,5,0.62,3.5,14,6,N,0,UPI,2,N
L00081,28,HR Executive,Hyderabad,Working Professional,Pro,999,9,11,8,0.73,9.8,16,0,N,0,Netbanking,0,Y
L00082,27,Student,Chennai,Casual Learner,Basic,299,3,11,2,0.18,2.5,4,28,N,0,UPI,5,Y
L00083,29,Marketing Executive,Chennai,Working Professional,Standard,599,6,13,8,0.62,8.7,9,1,N,0,UPI,2,Y
L00084,33,Sales Executive,Ahmedabad,Working Professional,Standard,599,9,11,7,0.64,4.7,14,3,N,0,Netbanking,0,Y
L00085,21,Software Engineer,Hyderabad,Power Learner,Pro,999,4,1,1,1.0,17.7,24,2,N,0,Wallet,0,Y
L00086,32,Unemployed (Upskilling),Chennai,Career Switcher,Basic,299,12,14,11,0.79,5.3,8,14,N,0,Wallet,1,Y
L00087,25,Sales Executive,Mumbai,Working Professional,Premium,1499,3,14,8,0.57,8.8,15,11,Y,9,Wallet,0,Y
L00088,29,Marketing Executive,Chennai,Working Professional,Pro,999,2,15,11,0.73,7.1,9,16,N,0,Netbanking,0,Y
L00089,19,Student,Delhi NCR,College Student,Standard,599,11,10,5,0.5,2.5,14,31,N,0,Wallet,2,N
L00090,29,Ex-Operations,Bengaluru,Career Switcher,Pro,999,11,2,1,0.5,7.1,12,1,N,0,Wallet,0,Y
L00091,24,Software Engineer,Ahmedabad,Certification Seeker,Standard,599,9,10,9,0.9,7.8,6,14,N,0,Netbanking,1,Y
L00092,34,Software Engineer,Chennai,Power Learner,Premium,1499,2,8,6,0.75,15.0,22,0,N,0,Card,1,Y
L00093,30,Data Analyst,Mumbai,Working Professional,Pro,999,11,7,5,0.71,6.0,13,3,N,0,Card,1,Y
L00094,36,Ex-Marketer,Ahmedabad,Career Switcher,Standard,599,12,6,4,0.67,11.6,12,12,N,0,UPI,3,Y
L00095,20,Student,Hyderabad,College Student,Basic,299,8,14,5,0.36,3.3,6,9,N,0,UPI,3,N
L00096,37,Ex-Banker,Delhi NCR,Career Switcher,Standard,599,12,6,3,0.5,10.4,10,14,N,0,Card,3,Y
L00097,43,Retired,Hyderabad,Casual Learner,Basic,299,5,10,2,0.2,3.9,4,44,N,0,Wallet,3,N
L00098,30,Marketing Executive,Hyderabad,Working Professional,Pro,999,3,6,4,0.67,9.2,8,20,N,0,UPI,0,Y
L00099,26,Retired,Delhi NCR,Casual Learner,Standard,599,2,15,6,0.4,3.8,2,77,Y,11,Netbanking,1,N
L00100,19,Student,Chennai,College Student,Pro,999,12,15,5,0.33,6.5,6,8,N,0,Card,4,Y
L00101,18,Student,Pune,College Student,Basic,299,3,13,7,0.54,5.8,13,33,Y,16,UPI,1,Y
L00102,32,Homemaker,Bengaluru,Casual Learner,Standard,599,8,12,4,0.33,2.6,1,85,Y,19,Netbanking,2,N
L00103,23,Student,Chennai,College Student,Basic,299,9,14,5,0.36,5.8,12,35,Y,23,Netbanking,3,N
L00104,25,Data Analyst,Hyderabad,Working Professional,Pro,999,11,9,5,0.56,4.6,13,4,N,0,Card,3,N
L00105,26,Marketing Executive,Bengaluru,Working Professional,Pro,999,8,15,12,0.8,4.2,11,1,Y,14,Wallet,1,Y
L00106,24,Student,Chennai,Casual Learner,Standard,599,1,6,1,0.17,3.5,3,54,Y,18,Wallet,4,N
L00107,23,Student,Chennai,College Student,Pro,999,9,10,4,0.4,3.9,5,27,N,0,Card,2,Y
L00108,23,Student,Pune,College Student,Basic,299,12,12,6,0.5,5.0,11,22,N,0,Netbanking,3,Y
L00109,21,Software Engineer,Ahmedabad,Power Learner,Pro,999,12,11,10,0.91,16.8,20,1,N,0,UPI,0,Y
L00110,29,Student,Ahmedabad,Casual Learner,Pro,999,1,6,3,0.5,2.6,6,77,Y,12,Card,2,N
L00111,32,Ex-Teacher,Mumbai,Career Switcher,Pro,999,8,5,3,0.6,8.6,16,3,N,0,Card,2,Y
L00112,26,Software Engineer,Delhi NCR,Power Learner,Premium,1499,8,14,13,0.93,11.7,27,0,N,0,Netbanking,0,Y
L00113,28,Marketing Executive,Delhi NCR,Working Professional,Pro,999,9,8,5,0.62,5.3,11,4,Y,11,Netbanking,3,N
L00114,27,Ex-Teacher,Pune,Career Switcher,Pro,999,12,14,10,0.71,10.0,16,13,N,0,Card,1,Y
L00115,34,HR Executive,Chennai,Working Professional,Standard,599,9,15,10,0.67,7.8,10,4,N,0,UPI,1,Y
L00116,23,Student,Chennai,College Student,Pro,999,9,9,4,0.44,8.3,5,16,Y,23,UPI,1,Y
L00117,30,Unemployed (Upskilling),Chennai,Career Switcher,Pro,999,10,11,6,0.55,5.3,8,2,N,0,Netbanking,1,Y
L00118,34,Software Engineer,Jaipur,Working Professional,Premium,1499,9,13,8,0.62,5.7,12,15,N,0,Netbanking,3,Y
L00119,21,Student,Jaipur,College Student,Standard,599,6,14,9,0.64,6.2,9,20,Y,18,Netbanking,0,Y
L00120,28,Sales Executive,Hyderabad,Working Professional,Standard,599,1,14,9,0.64,5.7,14,19,N,0,Netbanking,2,Y
L00121,22,Student,Jaipur,College Student,Pro,999,8,4,2,0.5,2.2,10,32,Y,17,UPI,2,Y
L00122,37,Analyst,Mumbai,Certification Seeker,Pro,999,7,7,5,0.71,3.7,10,23,N,0,Wallet,0,Y
L00123,22,Student,Bengaluru,College Student,Basic,299,8,2,1,0.5,7.4,8,39,Y,12,Netbanking,2,Y
L00124,26,Marketing Executive,Ahmedabad,Working Professional,Pro,999,1,3,2,0.67,4.2,13,15,N,0,Card,2,N
L00125,30,HR Executive,Pune,Working Professional,Pro,999,9,5,4,0.8,9.0,16,15,N,0,UPI,1,Y
L00126,21,Student,Mumbai,College Student,Standard,599,5,1,0,0.0,8.8,13,36,N,0,Card,5,N
L00127,37,Ex-Banker,Hyderabad,Career Switcher,Basic,299,12,3,2,0.67,5.8,8,14,N,0,Card,3,Y
L00128,40,Ex-Teacher,Delhi NCR,Career Switcher,Pro,999,9,6,4,0.67,7.3,18,15,N,0,Wallet,2,Y
L00129,33,Unemployed (Upskilling),Jaipur,Career Switcher,Standard,599,4,5,4,0.8,7.0,12,7,N,0,Card,1,Y
L00130,35,Data Analyst,Pune,Working Professional,Standard,599,11,13,11,0.85,7.3,14,11,Y,5,UPI,1,N
L00131,40,Ex-Banker,Hyderabad,Career Switcher,Pro,999,5,12,6,0.5,11.5,12,4,N,0,Card,0,N
L00132,32,Ex-Teacher,Bengaluru,Career Switcher,Pro,999,12,9,5,0.56,8.3,18,4,N,0,Card,3,Y
L00133,37,Manager,Hyderabad,Certification Seeker,Pro,999,5,10,6,0.6,4.6,6,24,N,0,UPI,1,Y
L00134,23,Manager,Jaipur,Certification Seeker,Standard,599,12,10,6,0.6,7.8,10,1,N,0,Netbanking,2,Y
L00135,40,Ex-Banker,Jaipur,Career Switcher,Standard,599,2,1,1,1.0,7.3,15,8,N,0,Netbanking,0,Y
L00136,34,Manager,Chennai,Certification Seeker,Basic,299,11,4,3,0.75,3.5,8,15,Y,9,Wallet,1,N
L00137,35,HR Executive,Mumbai,Working Professional,Standard,599,6,3,2,0.67,8.2,8,3,N,0,Netbanking,0,Y
L00138,31,Data Scientist,Hyderabad,Power Learner,Premium,1499,8,9,8,0.89,11.5,29,2,N,0,Card,0,Y
L00139,27,Unemployed (Upskilling),Jaipur,Career Switcher,Pro,999,6,9,5,0.56,5.5,17,3,N,0,Card,1,Y
L00140,36,Software Engineer,Hyderabad,Certification Seeker,Pro,999,8,8,7,0.88,3.5,14,14,Y,9,UPI,1,Y
L00141,24,Sales Executive,Pune,Working Professional,Pro,999,12,12,8,0.67,5.3,9,1,Y,15,UPI,3,Y
L00142,26,Sales Executive,Chennai,Working Professional,Premium,1499,7,11,6,0.55,6.7,14,12,N,0,Card,2,Y
L00143,32,Data Scientist,Hyderabad,Power Learner,Premium,1499,1,14,12,0.86,19.8,27,3,N,0,Wallet,1,Y
L00144,23,Student,Mumbai,College Student,Standard,599,7,2,1,0.5,6.3,4,15,N,0,Wallet,0,Y
L00145,21,Student,Hyderabad,College Student,Standard,599,1,12,8,0.67,3.0,8,14,N,0,Netbanking,1,Y
L00146,23,Student,Ahmedabad,College Student,Basic,299,1,7,4,0.57,5.9,13,11,N,0,UPI,2,N
L00147,35,Ex-Operations,Ahmedabad,Career Switcher,Standard,599,7,4,2,0.5,6.3,16,15,N,0,Card,3,N
L00148,38,Unemployed (Upskilling),Delhi NCR,Career Switcher,Pro,999,5,14,11,0.79,6.4,18,2,N,0,Card,0,Y
L00149,26,Ex-Teacher,Hyderabad,Career Switcher,Pro,999,10,14,9,0.64,10.1,16,6,N,0,Netbanking,0,Y
L00150,23,Student,Jaipur,College Student,Pro,999,12,9,6,0.67,6.2,7,25,Y,16,Wallet,2,Y
L00151,31,Sales Executive,Bengaluru,Working Professional,Pro,999,12,7,5,0.71,6.8,13,6,Y,14,Card,0,Y
L00152,40,Manager,Pune,Certification Seeker,Standard,599,6,11,8,0.73,4.2,9,15,N,0,Wallet,1,Y
L00153,29,Freelancer,Delhi NCR,Casual Learner,Standard,599,8,14,4,0.29,1.1,5,27,N,0,UPI,1,Y
L00154,29,Software Engineer,Delhi NCR,Certification Seeker,Basic,299,9,15,12,0.8,5.3,6,19,N,0,Wallet,1,Y
L00155,38,Ex-Teacher,Mumbai,Career Switcher,Pro,999,5,12,8,0.67,8.8,12,0,N,0,Card,0,N
L00156,32,Ex-Banker,Pune,Career Switcher,Pro,999,5,8,6,0.75,10.6,9,11,N,0,Card,1,Y
L00157,23,Software Engineer,Ahmedabad,Certification Seeker,Standard,599,9,8,5,0.62,5.4,6,22,N,0,Netbanking,0,N
L00158,29,Consultant,Jaipur,Certification Seeker,Standard,599,2,1,1,1.0,6.4,10,17,Y,14,UPI,0,Y
L00159,40,Retired,Bengaluru,Casual Learner,Basic,299,10,13,3,0.23,1.3,4,89,N,0,UPI,5,N
L00160,25,Sales Executive,Hyderabad,Working Professional,Pro,999,6,5,3,0.6,7.6,14,10,N,0,Wallet,3,Y
L00161,37,Ex-Operations,Delhi NCR,Career Switcher,Pro,999,11,12,9,0.75,7.7,17,9,Y,8,Wallet,0,Y
L00162,25,Software Engineer,Mumbai,Working Professional,Premium,1499,8,3,2,0.67,6.2,12,3,N,0,Wallet,0,Y
L00163,25,HR Executive,Chennai,Working Professional,Premium,1499,1,9,7,0.78,5.8,14,2,N,0,Card,0,Y
L00164,20,Student,Pune,College Student,Standard,599,2,13,6,0.46,3.2,8,26,Y,15,Card,3,N
L00165,18,Student,Pune,College Student,Basic,299,7,6,4,0.67,4.3,13,24,Y,19,Card,2,Y
L00166,26,Entrepreneur,Chennai,Power Learner,Pro,999,7,13,13,1.0,19.7,24,3,N,0,Wallet,1,Y
L00167,25,HR Executive,Hyderabad,Working Professional,Pro,999,9,8,7,0.88,5.1,16,0,N,0,Card,1,Y
L00168,24,Manager,Jaipur,Certification Seeker,Standard,599,5,7,5,0.71,4.2,8,22,Y,15,Wallet,1,Y
L00169,35,Software Engineer,Chennai,Certification Seeker,Pro,999,9,11,9,0.82,6.0,7,3,N,0,Card,0,Y
L00170,37,Ex-Marketer,Ahmedabad,Career Switcher,Standard,599,2,7,4,0.57,6.8,16,7,N,0,Card,2,N
L00171,28,Sales Executive,Bengaluru,Working Professional,Standard,599,12,4,3,0.75,4.9,12,10,N,0,Netbanking,1,Y
L00172,32,Student,Bengaluru,Casual Learner,Basic,299,12,3,1,0.33,0.9,3,33,N,0,Card,5,Y
L00173,22,Student,Jaipur,College Student,Basic,299,7,7,4,0.57,6.4,6,40,Y,22,Card,3,N
L00174,35,Marketing Executive,Hyderabad,Working Professional,Standard,599,12,14,8,0.57,8.9,9,18,N,0,Netbanking,2,Y
L00175,23,Student,Chennai,College Student,Standard,599,10,8,4,0.5,4.7,5,22,N,0,Netbanking,0,N
L00176,27,Data Analyst,Bengaluru,Working Professional,Standard,599,12,10,7,0.7,4.8,14,13,N,0,Card,1,Y
L00177,38,Freelancer,Delhi NCR,Casual Learner,Basic,299,3,1,0,0.0,1.2,4,26,Y,14,Wallet,5,N
L00178,34,Sales Executive,Ahmedabad,Working Professional,Pro,999,8,13,7,0.54,6.9,9,18,N,0,UPI,2,Y
L00179,31,HR Executive,Jaipur,Working Professional,Pro,999,2,6,5,0.83,7.4,12,17,N,0,UPI,1,Y
L00180,23,Data Scientist,Pune,Power Learner,Premium,1499,1,2,2,1.0,14.5,25,0,N,0,Card,0,Y
L00181,36,Unemployed (Upskilling),Ahmedabad,Career Switcher,Standard,599,3,9,6,0.67,10.5,11,1,N,0,Card,2,N
L00182,33,Data Analyst,Bengaluru,Working Professional,Standard,599,7,14,8,0.57,9.5,12,20,Y,6,Netbanking,1,N
L00183,40,Ex-Banker,Pune,Career Switcher,Pro,999,7,12,7,0.58,8.2,18,2,N,0,Netbanking,3,N
L00184,24,Software Engineer,Jaipur,Working Professional,Pro,999,12,7,5,0.71,6.1,9,17,N,0,Wallet,1,Y
L00185,32,HR Executive,Delhi NCR,Working Professional,Pro,999,8,13,8,0.62,8.7,8,1,N,0,UPI,0,N
L00186,21,Student,Ahmedabad,College Student,Basic,299,12,15,6,0.4,8.4,14,19,N,0,UPI,2,Y
L00187,34,Marketing Executive,Mumbai,Working Professional,Standard,599,5,12,9,0.75,8.4,11,13,Y,7,UPI,0,Y
L00188,31,Software Engineer,Mumbai,Working Professional,Pro,999,2,4,3,0.75,9.9,14,4,N,0,UPI,0,Y
L00189,26,Manager,Delhi NCR,Certification Seeker,Pro,999,11,11,7,0.64,3.7,14,18,Y,9,Card,1,N
L00190,39,Ex-Banker,Bengaluru,Career Switcher,Premium,1499,3,7,4,0.57,10.3,17,12,N,0,Card,1,Y
L00191,22,Student,Mumbai,College Student,Standard,599,11,4,2,0.5,8.1,7,33,N,0,Netbanking,0,N
L00192,25,Retired,Ahmedabad,Casual Learner,Basic,299,8,1,0,0.0,2.7,1,87,N,0,Netbanking,2,N
L00193,35,Analyst,Delhi NCR,Certification Seeker,Pro,999,2,1,1,1.0,3.1,7,0,N,0,Wallet,1,Y
L00194,30,Sales Executive,Ahmedabad,Working Professional,Basic,299,9,2,1,0.5,7.2,10,8,N,0,Card,1,Y
L00195,34,Software Engineer,Pune,Working Professional,Pro,999,12,15,9,0.6,9.7,11,1,N,0,Wallet,0,Y
L00196,41,Freelancer,Bengaluru,Casual Learner,Basic,299,3,9,4,0.44,3.0,2,83,Y,26,Netbanking,1,N
L00197,45,Student,Bengaluru,Casual Learner,Standard,599,1,5,1,0.2,1.7,4,54,N,0,UPI,4,N
L00198,31,HR Executive,Delhi NCR,Working Professional,Standard,599,5,1,1,1.0,8.6,9,7,Y,14,Card,0,Y
L00199,26,Marketing Executive,Mumbai,Working Professional,Pro,999,12,7,5,0.71,8.4,14,7,N,0,Netbanking,1,Y
L00200,28,Unemployed (Upskilling),Mumbai,Career Switcher,Standard,599,9,14,11,0.79,11.9,14,2,N,0,Netbanking,1,Y
L00201,29,Marketing Executive,Pune,Working Professional,Pro,999,5,8,5,0.62,8.4,11,14,N,0,Card,1,Y
L00202,22,Consultant,Chennai,Certification Seeker,Pro,999,12,7,6,0.86,7.4,11,0,N,0,Netbanking,0,Y
L00203,33,Entrepreneur,Mumbai,Power Learner,Premium,1499,3,15,14,0.93,17.1,21,0,N,0,Wallet,1,Y
L00204,36,Homemaker,Delhi NCR,Casual Learner,Basic,299,7,3,1,0.33,0.8,5,27,Y,15,Netbanking,4,N
L00205,28,Retired,Pune,Casual Learner,Basic,299,4,3,0,0.0,1.0,5,33,Y,16,UPI,5,N
L00206,32,Student,Jaipur,Casual Learner,Basic,299,2,12,5,0.42,0.8,6,58,N,0,Card,2,N
L00207,29,Retired,Mumbai,Casual Learner,Standard,599,5,14,6,0.43,3.4,2,23,Y,25,Card,0,Y
L00208,22,Homemaker,Mumbai,Casual Learner,Basic,299,4,11,4,0.36,1.0,4,67,Y,22,UPI,1,N
L00209,23,Student,Delhi NCR,College Student,Basic,299,6,10,4,0.4,2.9,11,3,Y,24,Wallet,0,Y
L00210,29,Marketing Executive,Delhi NCR,Working Professional,Standard,599,8,4,3,0.75,9.3,8,19,N,0,Wallet,1,N
L00211,25,Data Analyst,Ahmedabad,Working Professional,Standard,599,4,13,10,0.77,7.9,16,7,N,0,UPI,1,N
L00212,32,Sales Executive,Chennai,Working Professional,Premium,1499,9,10,6,0.6,5.9,12,5,N,0,Netbanking,0,N
L00213,29,HR Executive,Hyderabad,Working Professional,Premium,1499,2,13,9,0.69,5.5,11,8,N,0,UPI,1,Y
L00214,32,Consultant,Delhi NCR,Power Learner,Pro,999,10,6,5,0.83,13.2,25,0,N,0,Card,0,Y
L00215,33,Part-time Worker,Pune,Casual Learner,Basic,299,1,8,1,0.12,0.8,2,48,Y,28,Card,2,N
L00216,20,Student,Mumbai,College Student,Basic,299,12,2,1,0.5,8.4,5,33,Y,29,Wallet,0,Y
L00217,26,Sales Executive,Jaipur,Working Professional,Pro,999,3,4,3,0.75,8.2,16,19,N,0,Card,1,Y
L00218,22,Freelancer,Mumbai,Casual Learner,Pro,999,10,6,1,0.17,1.9,5,24,N,0,Card,5,Y
L00219,29,Software Engineer,Hyderabad,Working Professional,Standard,599,6,6,5,0.83,5.0,9,20,N,0,Netbanking,0,Y
L00220,20,Student,Mumbai,College Student,Basic,299,8,7,4,0.57,7.1,6,26,Y,18,Wallet,1,Y
L00221,18,Student,Mumbai,College Student,Basic,299,2,2,1,0.5,2.5,6,24,Y,28,UPI,2,N
